timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691043699535,4284,S01_FL_Launch,200,"Number of samples in transaction : 2, number of failing samples : 0",S01_FloodIO 1-1,,true,,6784,1839,1,1,null,0,191,993
1691043699703,3472,S01_FL_Launch-3,200,OK,S01_FloodIO 1-1,text,true,,3561,710,1,1,https://training.flooded.io:443/,728,0,457
1691043699703,728,S01_FL_Launch-3-0,301,Moved Permanently,S01_FloodIO 1-1,text,true,,339,353,1,1,http://training.flooded.io/,728,0,457
1691043700437,2738,S01_FL_Launch-3-1,200,OK,S01_FloodIO 1-1,text,true,,3222,357,1,1,https://training.flooded.io:443/,2737,0,2442
1691043703186,812,S01_FL_Launch-4,200,OK,S01_FloodIO 1-1,text,true,,3223,1129,1,1,https://training.flooded.io/,812,0,536
1691043709423,546,S01_FL_Start,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_FloodIO 1-1,,true,,3551,2817,1,1,null,0,1145,0
1691043709424,546,S01_FL_Start-0,200,OK,S01_FloodIO 1-1,text,true,,3551,2817,1,1,https://training.flooded.io/step/2,272,0,0
1691043709424,272,S01_FL_Start-0-0,302,Found,S01_FloodIO 1-1,text,true,,1133,1550,1,1,https://training.flooded.io/start,272,0,0
1691043709697,273,S01_FL_Start-0-1,200,OK,S01_FloodIO 1-1,text,true,,2418,1267,1,1,https://training.flooded.io/step/2,273,0,0
1691043718436,551,S01_FL_Step_2,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_FloodIO 1-1,,true,,4154,2851,1,1,null,0,901,0
1691043718437,551,S01_FL_Step_2-0,200,OK,S01_FloodIO 1-1,text,true,,4154,2851,1,1,https://training.flooded.io/step/3,266,0,0
1691043718437,266,S01_FL_Step_2-0-0,302,Found,S01_FloodIO 1-1,text,true,,1133,1578,1,1,https://training.flooded.io/start,266,0,0
1691043718703,285,S01_FL_Step_2-0-1,200,OK,S01_FloodIO 1-1,text,true,,3021,1273,1,1,https://training.flooded.io/step/3,284,0,0
1691043725505,538,S01_FL_Step_3,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_FloodIO 1-1,,true,,3190,3006,1,1,null,0,3,0
1691043725506,538,S01_FL_Step_3-0,200,OK,S01_FloodIO 1-1,text,true,,3190,3006,1,1,https://training.flooded.io/step/4,268,0,0
1691043725506,268,S01_FL_Step_3-0-0,302,Found,S01_FloodIO 1-1,text,true,,1133,1733,1,1,https://training.flooded.io/start,268,0,0
1691043725775,269,S01_FL_Step_3-0-1,200,OK,S01_FloodIO 1-1,text,true,,2057,1273,1,1,https://training.flooded.io/step/4,269,0,0
1691043733102,1074,S01_FL_Step_4,200,"Number of samples in transaction : 3, number of failing samples : 0",S01_FloodIO 1-1,,true,,6525,5450,1,1,null,0,4,0
1691043733103,533,S01_FL_Step_4-0,200,OK,S01_FloodIO 1-1,text,true,,3290,3183,1,1,https://training.flooded.io/step/5,266,0,0
1691043733103,266,S01_FL_Step_4-0-0,302,Found,S01_FloodIO 1-1,text,true,,1133,1910,1,1,https://training.flooded.io/start,266,0,0
1691043733370,266,S01_FL_Step_4-0-1,200,OK,S01_FloodIO 1-1,text,true,,2157,1273,1,1,https://training.flooded.io/step/5,266,0,0
1691043733637,271,S01_FL_Step_4-1,200,OK,S01_FloodIO 1-1,text,true,,2157,1187,1,1,https://training.flooded.io/step/5,271,0,0
1691043733909,270,S01_FL_Step_4-2,200,OK,S01_FloodIO 1-1,text,true,,1078,1080,1,1,https://training.flooded.io/code,270,0,0
1691043740464,545,S01_FL_Step_5,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_FloodIO 1-1,,true,,3087,2868,1,1,null,0,2,0
1691043740465,545,S01_FL_Step_5-0,200,OK,S01_FloodIO 1-1,text,true,,3087,2868,1,1,https://training.flooded.io/done,268,0,0
1691043740465,268,S01_FL_Step_5-0-0,302,Found,S01_FloodIO 1-1,text,true,,1128,1597,1,1,https://training.flooded.io/start,268,0,0
1691043740734,276,S01_FL_Step_5-0-1,200,OK,S01_FloodIO 1-1,text,true,,1959,1271,1,1,https://training.flooded.io/done,275,0,0
1691043747248,271,S01_FL_StartAgain,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_FloodIO 1-1,,true,,3222,1124,1,1,null,0,1,0
1691043747249,271,S01_FL_StartAgain-0,200,OK,S01_FloodIO 1-1,text,true,,3222,1124,1,1,https://training.flooded.io/,271,0,0
1691043754868,10,Debug Sampler,200,OK,S01_FloodIO 1-1,text,true,,10416,0,1,1,null,0,0,0
